-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3533E+03  1.9435E+02  1.3533E+03  1.0627E+03  1.5940E+02  8.3999E+02
     0.2800     4.0000     3.7200  1.3482E+03  1.9382E+02  1.3482E+03  1.0581E+03  1.5871E+02  8.3571E+02
     0.2800     4.0000     3.7200  1.3328E+03  1.9223E+02  1.3328E+03  1.0442E+03  1.5664E+02  8.2291E+02
     0.2800     4.0000     3.7200  1.3072E+03  1.8962E+02  1.3072E+03  1.0214E+03  1.5320E+02  8.0172E+02
     0.2800     4.0000     3.7200  1.2717E+03  1.8600E+02  1.2717E+03  9.8959E+02  1.4844E+02  7.7239E+02
     0.2800     4.0000     3.7200  1.2265E+03  1.8142E+02  1.2265E+03  9.4923E+02  1.4239E+02  7.3521E+02
     0.2800     4.0000     3.7200  1.1720E+03  1.7590E+02  1.1720E+03  9.0066E+02  1.3510E+02  6.9063E+02
     0.2800     4.0000     3.7200  1.1086E+03  1.6947E+02  1.1086E+03  8.4431E+02  1.2665E+02  6.3915E+02
     0.2800     4.0000     3.7200  1.0367E+03  1.6217E+02  1.0367E+03  7.8068E+02  1.1710E+02  5.8140E+02
     0.2800     4.0000     3.7200  9.5694E+02  1.5405E+02  9.5694E+02  7.1033E+02  1.0655E+02  5.1814E+02
     0.2800     4.0000     3.7200  8.6990E+02  1.4518E+02  8.6990E+02  6.3389E+02  9.5083E+01  4.5027E+02
     0.2800     4.0000     3.7200  7.7623E+02  1.3565E+02  7.7623E+02  5.5209E+02  8.2814E+01  3.7887E+02
     0.2800     4.0000     3.7200  6.7666E+02  1.2550E+02  6.7666E+02  4.6585E+02  6.9877E+01  3.0530E+02
     0.2800     4.0000     3.7200  5.7194E+02  1.1463E+02  5.7194E+02  3.7636E+02  5.6454E+01  2.3130E+02
     0.2800     4.0000     3.7200  4.6286E+02  1.0269E+02  4.6286E+02  2.8537E+02  4.2806E+01  1.5928E+02
     0.2800     4.0000     3.7200  3.5027E+02  8.8738E+01  3.5027E+02  1.9554E+02  2.9330E+01  9.2835E+01
     0.2800     4.0000     3.7200  2.3500E+02  7.0673E+01  2.3500E+02  1.1136E+02  1.6704E+01  3.7921E+01
----------------------------------------------------------------------------------------------------------
