# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3476E+03 1.9336E+02 1.3476E+03 1.0574E+03 1.5861E+02 8.3605E+02
0.2800 4.0000 3.7200 1.3425E+03 1.9283E+02 1.3425E+03 1.0528E+03 1.5792E+02 8.3179E+02
0.2800 4.0000 3.7200 1.3272E+03 1.9125E+02 1.3272E+03 1.0390E+03 1.5586E+02 8.1905E+02
0.2800 4.0000 3.7200 1.3017E+03 1.8865E+02 1.3017E+03 1.0163E+03 1.5244E+02 7.9798E+02
0.2800 4.0000 3.7200 1.2664E+03 1.8505E+02 1.2664E+03 9.8468E+02 1.4770E+02 7.6879E+02
0.2800 4.0000 3.7200 1.2214E+03 1.8049E+02 1.2214E+03 9.4455E+02 1.4168E+02 7.3181E+02
0.2800 4.0000 3.7200 1.1671E+03 1.7500E+02 1.1671E+03 8.9624E+02 1.3444E+02 6.8745E+02
0.2800 4.0000 3.7200 1.1039E+03 1.6861E+02 1.1039E+03 8.4019E+02 1.2603E+02 6.3624E+02
0.2800 4.0000 3.7200 1.0323E+03 1.6134E+02 1.0323E+03 7.7690E+02 1.1653E+02 5.7878E+02
0.2800 4.0000 3.7200 9.5292E+02 1.5327E+02 9.5292E+02 7.0693E+02 1.0604E+02 5.1585E+02
0.2800 4.0000 3.7200 8.6624E+02 1.4445E+02 8.6624E+02 6.3090E+02 9.4636E+01 4.4832E+02
0.2800 4.0000 3.7200 7.7297E+02 1.3497E+02 7.7297E+02 5.4955E+02 8.2433E+01 3.7728E+02
0.2800 4.0000 3.7200 6.7382E+02 1.2488E+02 6.7382E+02 4.6377E+02 6.9565E+01 3.0408E+02
0.2800 4.0000 3.7200 5.6953E+02 1.1408E+02 5.6953E+02 3.7476E+02 5.6214E+01 2.3045E+02
0.2800 4.0000 3.7200 4.6092E+02 1.0221E+02 4.6092E+02 2.8424E+02 4.2637E+01 1.5877E+02
0.2800 4.0000 3.7200 3.4879E+02 8.8339E+01 3.4879E+02 1.9485E+02 2.9228E+01 9.2606E+01
0.2800 4.0000 3.7200 2.3401E+02 7.0379E+01 2.3401E+02 1.1105E+02 1.6657E+01 3.7884E+01
