# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3533E+03 1.9056E+02 1.3533E+03 1.0636E+03 1.5954E+02 9.3737E+02
0.2800 4.0000 3.7200 1.3482E+03 1.9000E+02 1.3482E+03 1.0590E+03 1.5885E+02 9.3299E+02
0.2800 4.0000 3.7200 1.3328E+03 1.8834E+02 1.3328E+03 1.0453E+03 1.5680E+02 9.1988E+02
0.2800 4.0000 3.7200 1.3072E+03 1.8558E+02 1.3072E+03 1.0227E+03 1.5340E+02 8.9818E+02
0.2800 4.0000 3.7200 1.2717E+03 1.8176E+02 1.2717E+03 9.9123E+02 1.4869E+02 8.6810E+02
0.2800 4.0000 3.7200 1.2265E+03 1.7689E+02 1.2265E+03 9.5128E+02 1.4269E+02 8.2995E+02
0.2800 4.0000 3.7200 1.1720E+03 1.7101E+02 1.1720E+03 9.0319E+02 1.3548E+02 7.8409E+02
0.2800 4.0000 3.7200 1.1086E+03 1.6414E+02 1.1086E+03 8.4740E+02 1.2711E+02 7.3102E+02
0.2800 4.0000 3.7200 1.0367E+03 1.5633E+02 1.0367E+03 7.8443E+02 1.1766E+02 6.7130E+02
0.2800 4.0000 3.7200 9.5694E+02 1.4761E+02 9.5694E+02 7.1486E+02 1.0723E+02 6.0561E+02
0.2800 4.0000 3.7200 8.6990E+02 1.3802E+02 8.6990E+02 6.3937E+02 9.5905E+01 5.3472E+02
0.2800 4.0000 3.7200 7.7623E+02 1.2761E+02 7.7623E+02 5.5873E+02 8.3810E+01 4.5957E+02
0.2800 4.0000 3.7200 6.7666E+02 1.1637E+02 6.7666E+02 4.7386E+02 7.1079E+01 3.8127E+02
0.2800 4.0000 3.7200 5.7194E+02 1.0423E+02 5.7194E+02 3.8586E+02 5.7879E+01 3.0118E+02
0.2800 4.0000 3.7200 4.6286E+02 9.0972E+01 4.6286E+02 2.9619E+02 4.4428E+01 2.2114E+02
0.2800 4.0000 3.7200 3.5027E+02 7.6078E+01 3.5027E+02 2.0689E+02 3.1034E+01 1.4377E+02
0.2800 4.0000 3.7200 2.3500E+02 5.8387E+01 2.3500E+02 1.2130E+02 1.8196E+01 7.3475E+01
