-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3533E+03  1.9256E+02  1.3533E+03  1.0525E+03  1.5788E+02  8.7049E+02
     0.2800     4.0000     3.7200  1.3482E+03  1.9203E+02  1.3482E+03  1.0479E+03  1.5719E+02  8.6619E+02
     0.2800     4.0000     3.7200  1.3328E+03  1.9047E+02  1.3328E+03  1.0342E+03  1.5512E+02  8.5333E+02
     0.2800     4.0000     3.7200  1.3072E+03  1.8788E+02  1.3072E+03  1.0113E+03  1.5170E+02  8.3204E+02
     0.2800     4.0000     3.7200  1.2717E+03  1.8428E+02  1.2717E+03  9.7966E+02  1.4695E+02  8.0256E+02
     0.2800     4.0000     3.7200  1.2265E+03  1.7971E+02  1.2265E+03  9.3943E+02  1.4091E+02  7.6520E+02
     0.2800     4.0000     3.7200  1.1720E+03  1.7420E+02  1.1720E+03  8.9100E+02  1.3365E+02  7.2036E+02
     0.2800     4.0000     3.7200  1.1086E+03  1.6777E+02  1.1086E+03  8.3482E+02  1.2522E+02  6.6857E+02
     0.2800     4.0000     3.7200  1.0367E+03  1.6047E+02  1.0367E+03  7.7141E+02  1.1571E+02  6.1042E+02
     0.2800     4.0000     3.7200  9.5694E+02  1.5232E+02  9.5694E+02  7.0136E+02  1.0520E+02  5.4666E+02
     0.2800     4.0000     3.7200  8.6990E+02  1.4338E+02  8.6990E+02  6.2536E+02  9.3804E+01  4.7816E+02
     0.2800     4.0000     3.7200  7.7623E+02  1.3365E+02  7.7623E+02  5.4422E+02  8.1632E+01  4.0595E+02
     0.2800     4.0000     3.7200  6.7666E+02  1.2311E+02  6.7666E+02  4.5892E+02  6.8839E+01  3.3130E+02
     0.2800     4.0000     3.7200  5.7194E+02  1.1162E+02  5.7194E+02  3.7075E+02  5.5612E+01  2.5584E+02
     0.2800     4.0000     3.7200  4.6286E+02  9.8789E+01  4.6286E+02  2.8141E+02  4.2211E+01  1.8173E+02
     0.2800     4.0000     3.7200  3.5027E+02  8.3828E+01  3.5027E+02  1.9341E+02  2.9012E+01  1.1214E+02
     0.2800     4.0000     3.7200  2.3500E+02  6.5086E+01  2.3500E+02  1.1083E+02  1.6625E+01  5.2164E+01
----------------------------------------------------------------------------------------------------------
