# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3476E+03 1.9156E+02 1.3476E+03 1.0473E+03 1.5710E+02 8.6654E+02
0.2800 4.0000 3.7200 1.3425E+03 1.9104E+02 1.3425E+03 1.0427E+03 1.5641E+02 8.6226E+02
0.2800 4.0000 3.7200 1.3272E+03 1.8949E+02 1.3272E+03 1.0290E+03 1.5435E+02 8.4946E+02
0.2800 4.0000 3.7200 1.3017E+03 1.8691E+02 1.3017E+03 1.0063E+03 1.5095E+02 8.2829E+02
0.2800 4.0000 3.7200 1.2664E+03 1.8333E+02 1.2664E+03 9.7482E+02 1.4622E+02 7.9896E+02
0.2800 4.0000 3.7200 1.2214E+03 1.7879E+02 1.2214E+03 9.3481E+02 1.4022E+02 7.6178E+02
0.2800 4.0000 3.7200 1.1671E+03 1.7330E+02 1.1671E+03 8.8664E+02 1.3300E+02 7.1718E+02
0.2800 4.0000 3.7200 1.1039E+03 1.6691E+02 1.1039E+03 8.3077E+02 1.2462E+02 6.6564E+02
0.2800 4.0000 3.7200 1.0323E+03 1.5964E+02 1.0323E+03 7.6770E+02 1.1515E+02 6.0779E+02
0.2800 4.0000 3.7200 9.5292E+02 1.5154E+02 9.5292E+02 6.9802E+02 1.0470E+02 5.4436E+02
0.2800 4.0000 3.7200 8.6624E+02 1.4264E+02 8.6624E+02 6.2243E+02 9.3365E+01 4.7619E+02
0.2800 4.0000 3.7200 7.7297E+02 1.3297E+02 7.7297E+02 5.4173E+02 8.1259E+01 4.0434E+02
0.2800 4.0000 3.7200 6.7382E+02 1.2249E+02 6.7382E+02 4.5689E+02 6.8534E+01 3.3006E+02
0.2800 4.0000 3.7200 5.6953E+02 1.1106E+02 5.6953E+02 3.6919E+02 5.5378E+01 2.5496E+02
0.2800 4.0000 3.7200 4.6092E+02 9.8301E+01 4.6092E+02 2.8031E+02 4.2047E+01 1.8119E+02
0.2800 4.0000 3.7200 3.4879E+02 8.3427E+01 3.4879E+02 1.9275E+02 2.8913E+01 1.1189E+02
0.2800 4.0000 3.7200 2.3401E+02 6.4794E+01 2.3401E+02 1.1054E+02 1.6581E+01 5.2122E+01
