# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3533E+03 1.9456E+02 1.3533E+03 1.0557E+03 1.5836E+02 8.7654E+02
0.2800 4.0000 3.7200 1.3482E+03 1.9404E+02 1.3482E+03 1.0511E+03 1.5767E+02 8.7224E+02
0.2800 4.0000 3.7200 1.3328E+03 1.9247E+02 1.3328E+03 1.0373E+03 1.5560E+02 8.5937E+02
0.2800 4.0000 3.7200 1.3072E+03 1.8987E+02 1.3072E+03 1.0145E+03 1.5217E+02 8.3807E+02
0.2800 4.0000 3.7200 1.2717E+03 1.8627E+02 1.2717E+03 9.8280E+02 1.4742E+02 8.0857E+02
0.2800 4.0000 3.7200 1.2265E+03 1.8168E+02 1.2265E+03 9.4254E+02 1.4138E+02 7.7117E+02
0.2800 4.0000 3.7200 1.1720E+03 1.7614E+02 1.1720E+03 8.9407E+02 1.3411E+02 7.2630E+02
0.2800 4.0000 3.7200 1.1086E+03 1.6969E+02 1.1086E+03 8.3784E+02 1.2568E+02 6.7445E+02
0.2800 4.0000 3.7200 1.0367E+03 1.6234E+02 1.0367E+03 7.7437E+02 1.1616E+02 6.1624E+02
0.2800 4.0000 3.7200 9.5694E+02 1.5415E+02 9.5694E+02 7.0426E+02 1.0564E+02 5.5240E+02
0.2800 4.0000 3.7200 8.6990E+02 1.4515E+02 8.6990E+02 6.2820E+02 9.4230E+01 4.8379E+02
0.2800 4.0000 3.7200 7.7623E+02 1.3534E+02 7.7623E+02 5.4700E+02 8.2050E+01 4.1144E+02
0.2800 4.0000 3.7200 6.7666E+02 1.2467E+02 6.7666E+02 4.6167E+02 6.9250E+01 3.3662E+02
0.2800 4.0000 3.7200 5.7194E+02 1.1297E+02 5.7194E+02 3.7345E+02 5.6017E+01 2.6092E+02
0.2800 4.0000 3.7200 4.6286E+02 9.9868E+01 4.6286E+02 2.8405E+02 4.2607E+01 1.8647E+02
0.2800 4.0000 3.7200 3.5027E+02 8.4542E+01 3.5027E+02 1.9591E+02 2.9386E+01 1.1637E+02
0.2800 4.0000 3.7200 2.3500E+02 6.5368E+01 2.3500E+02 1.1298E+02 1.6947E+01 5.5545E+01
