# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3476E+03 1.9356E+02 1.3476E+03 1.0505E+03 1.5757E+02 8.7259E+02
0.2800 4.0000 3.7200 1.3425E+03 1.9304E+02 1.3425E+03 1.0459E+03 1.5689E+02 8.6831E+02
0.2800 4.0000 3.7200 1.3272E+03 1.9148E+02 1.3272E+03 1.0322E+03 1.5483E+02 8.5550E+02
0.2800 4.0000 3.7200 1.3017E+03 1.8889E+02 1.3017E+03 1.0095E+03 1.5142E+02 8.3431E+02
0.2800 4.0000 3.7200 1.2664E+03 1.8531E+02 1.2664E+03 9.7795E+02 1.4669E+02 8.0496E+02
0.2800 4.0000 3.7200 1.2214E+03 1.8074E+02 1.2214E+03 9.3791E+02 1.4069E+02 7.6775E+02
0.2800 4.0000 3.7200 1.1671E+03 1.7523E+02 1.1671E+03 8.8970E+02 1.3346E+02 7.2310E+02
0.2800 4.0000 3.7200 1.1039E+03 1.6881E+02 1.1039E+03 8.3378E+02 1.2507E+02 6.7152E+02
0.2800 4.0000 3.7200 1.0323E+03 1.6151E+02 1.0323E+03 7.7065E+02 1.1560E+02 6.1360E+02
0.2800 4.0000 3.7200 9.5292E+02 1.5336E+02 9.5292E+02 7.0091E+02 1.0514E+02 5.5008E+02
0.2800 4.0000 3.7200 8.6624E+02 1.4440E+02 8.6624E+02 6.2526E+02 9.3789E+01 4.8182E+02
0.2800 4.0000 3.7200 7.7297E+02 1.3464E+02 7.7297E+02 5.4450E+02 8.1675E+01 4.0983E+02
0.2800 4.0000 3.7200 6.7382E+02 1.2403E+02 6.7382E+02 4.5963E+02 6.8944E+01 3.3537E+02
0.2800 4.0000 3.7200 5.6953E+02 1.1240E+02 5.6953E+02 3.7188E+02 5.5782E+01 2.6004E+02
0.2800 4.0000 3.7200 4.6092E+02 9.9373E+01 4.6092E+02 2.8294E+02 4.2442E+01 1.8593E+02
0.2800 4.0000 3.7200 3.4879E+02 8.4137E+01 3.4879E+02 1.9524E+02 2.9287E+01 1.1612E+02
0.2800 4.0000 3.7200 2.3401E+02 6.5074E+01 2.3401E+02 1.1268E+02 1.6902E+01 5.5500E+01
