# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3533E+03 1.7583E+02 1.3533E+03 1.0173E+03 1.5260E+02 8.6794E+02
0.2800 4.0000 3.7200 1.3482E+03 1.7531E+02 1.3482E+03 1.0128E+03 1.5192E+02 8.6363E+02
0.2800 4.0000 3.7200 1.3328E+03 1.7377E+02 1.3328E+03 9.9915E+02 1.4987E+02 8.5078E+02
0.2800 4.0000 3.7200 1.3072E+03 1.7123E+02 1.3072E+03 9.7658E+02 1.4649E+02 8.2950E+02
0.2800 4.0000 3.7200 1.2717E+03 1.6771E+02 1.2717E+03 9.4527E+02 1.4179E+02 8.0002E+02
0.2800 4.0000 3.7200 1.2265E+03 1.6325E+02 1.2265E+03 9.0554E+02 1.3583E+02 7.6267E+02
0.2800 4.0000 3.7200 1.1720E+03 1.5786E+02 1.1720E+03 8.5774E+02 1.2866E+02 7.1784E+02
0.2800 4.0000 3.7200 1.1086E+03 1.5159E+02 1.1086E+03 8.0234E+02 1.2035E+02 6.6606E+02
0.2800 4.0000 3.7200 1.0367E+03 1.4446E+02 1.0367E+03 7.3987E+02 1.1098E+02 6.0793E+02
0.2800 4.0000 3.7200 9.5694E+02 1.3651E+02 9.5694E+02 6.7095E+02 1.0064E+02 5.4419E+02
0.2800 4.0000 3.7200 8.6990E+02 1.2779E+02 8.6990E+02 5.9628E+02 8.9442E+01 4.7572E+02
0.2800 4.0000 3.7200 7.7623E+02 1.1835E+02 7.7623E+02 5.1672E+02 7.7508E+01 4.0354E+02
0.2800 4.0000 3.7200 6.7666E+02 1.0818E+02 6.7666E+02 4.3332E+02 6.4998E+01 3.2896E+02
0.2800 4.0000 3.7200 5.7194E+02 9.7238E+01 5.7194E+02 3.4743E+02 5.2114E+01 2.5358E+02
0.2800 4.0000 3.7200 4.6286E+02 8.5276E+01 4.6286E+02 2.6090E+02 3.9134E+01 1.7961E+02
0.2800 4.0000 3.7200 3.5027E+02 7.1722E+01 3.5027E+02 1.7642E+02 2.6462E+01 1.1024E+02
0.2800 4.0000 3.7200 2.3500E+02 5.5304E+01 2.3500E+02 9.8366E+01 1.4755E+01 5.0663E+01
