# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3476E+03 1.7492E+02 1.3476E+03 1.0123E+03 1.5185E+02 8.6398E+02
0.2800 4.0000 3.7200 1.3425E+03 1.7441E+02 1.3425E+03 1.0078E+03 1.5117E+02 8.5970E+02
0.2800 4.0000 3.7200 1.3272E+03 1.7288E+02 1.3272E+03 9.9424E+02 1.4914E+02 8.4691E+02
0.2800 4.0000 3.7200 1.3017E+03 1.7035E+02 1.3017E+03 9.7179E+02 1.4577E+02 8.2574E+02
0.2800 4.0000 3.7200 1.2664E+03 1.6685E+02 1.2664E+03 9.4065E+02 1.4110E+02 7.9642E+02
0.2800 4.0000 3.7200 1.2214E+03 1.6241E+02 1.2214E+03 9.0113E+02 1.3517E+02 7.5925E+02
0.2800 4.0000 3.7200 1.1671E+03 1.5705E+02 1.1671E+03 8.5359E+02 1.2804E+02 7.1465E+02
0.2800 4.0000 3.7200 1.1039E+03 1.5081E+02 1.1039E+03 7.9849E+02 1.1977E+02 6.6313E+02
0.2800 4.0000 3.7200 1.0323E+03 1.4372E+02 1.0323E+03 7.3635E+02 1.1045E+02 6.0530E+02
0.2800 4.0000 3.7200 9.5292E+02 1.3581E+02 9.5292E+02 6.6779E+02 1.0017E+02 5.4188E+02
0.2800 4.0000 3.7200 8.6624E+02 1.2714E+02 8.6624E+02 5.9352E+02 8.9028E+01 4.7375E+02
0.2800 4.0000 3.7200 7.7297E+02 1.1774E+02 7.7297E+02 5.1438E+02 7.7158E+01 4.0194E+02
0.2800 4.0000 3.7200 6.7382E+02 1.0763E+02 6.7382E+02 4.3143E+02 6.4714E+01 3.2772E+02
0.2800 4.0000 3.7200 5.6953E+02 9.6745E+01 5.6953E+02 3.4599E+02 5.1898E+01 2.5270E+02
0.2800 4.0000 3.7200 4.6092E+02 8.4849E+01 4.6092E+02 2.5990E+02 3.8985E+01 1.7907E+02
0.2800 4.0000 3.7200 3.4879E+02 7.1371E+01 3.4879E+02 1.7583E+02 2.6374E+01 1.1000E+02
0.2800 4.0000 3.7200 2.3401E+02 5.5045E+01 2.3401E+02 9.8111E+01 1.4717E+01 5.0622E+01
