-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3533E+03  1.9239E+02  1.3533E+03  1.0675E+03  1.6013E+02  8.2493E+02
     0.2800     4.0000     3.7200  1.3482E+03  1.9184E+02  1.3482E+03  1.0629E+03  1.5944E+02  8.2067E+02
     0.2800     4.0000     3.7200  1.3328E+03  1.9019E+02  1.3328E+03  1.0492E+03  1.5737E+02  8.0791E+02
     0.2800     4.0000     3.7200  1.3072E+03  1.8749E+02  1.3072E+03  1.0264E+03  1.5396E+02  7.8681E+02
     0.2800     4.0000     3.7200  1.2717E+03  1.8377E+02  1.2717E+03  9.9474E+02  1.4921E+02  7.5758E+02
     0.2800     4.0000     3.7200  1.2265E+03  1.7907E+02  1.2265E+03  9.5457E+02  1.4319E+02  7.2056E+02
     0.2800     4.0000     3.7200  1.1720E+03  1.7341E+02  1.1720E+03  9.0624E+02  1.3594E+02  6.7617E+02
     0.2800     4.0000     3.7200  1.1086E+03  1.6680E+02  1.1086E+03  8.5018E+02  1.2753E+02  6.2494E+02
     0.2800     4.0000     3.7200  1.0367E+03  1.5927E+02  1.0367E+03  7.8691E+02  1.1804E+02  5.6749E+02
     0.2800     4.0000     3.7200  9.5694E+02  1.5088E+02  9.5694E+02  7.1697E+02  1.0755E+02  5.0461E+02
     0.2800     4.0000     3.7200  8.6990E+02  1.4175E+02  8.6990E+02  6.4094E+02  9.6141E+01  4.3720E+02
     0.2800     4.0000     3.7200  7.7623E+02  1.3203E+02  7.7623E+02  5.5949E+02  8.3923E+01  3.6639E+02
     0.2800     4.0000     3.7200  6.7666E+02  1.2188E+02  6.7666E+02  4.7344E+02  7.1016E+01  2.9356E+02
     0.2800     4.0000     3.7200  5.7194E+02  1.1134E+02  5.7194E+02  3.8390E+02  5.7585E+01  2.2053E+02
     0.2800     4.0000     3.7200  4.6286E+02  1.0014E+02  4.6286E+02  2.9249E+02  4.3874E+01  1.4981E+02
     0.2800     4.0000     3.7200  3.5027E+02  8.7414E+01  3.5027E+02  2.0175E+02  3.0262E+01  8.5187E+01
     0.2800     4.0000     3.7200  2.3500E+02  7.0935E+01  2.3500E+02  1.1605E+02  1.7408E+01  3.2923E+01
----------------------------------------------------------------------------------------------------------
