# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3476E+03 1.8952E+02 1.3476E+03 1.0656E+03 1.5984E+02 9.0873E+02
0.2800 4.0000 3.7200 1.3425E+03 1.8895E+02 1.3425E+03 1.0611E+03 1.5916E+02 9.0438E+02
0.2800 4.0000 3.7200 1.3272E+03 1.8725E+02 1.3272E+03 1.0475E+03 1.5712E+02 8.9138E+02
0.2800 4.0000 3.7200 1.3017E+03 1.8445E+02 1.3017E+03 1.0249E+03 1.5374E+02 8.6986E+02
0.2800 4.0000 3.7200 1.2664E+03 1.8057E+02 1.2664E+03 9.9368E+02 1.4905E+02 8.4002E+02
0.2800 4.0000 3.7200 1.2214E+03 1.7566E+02 1.2214E+03 9.5399E+02 1.4310E+02 8.0218E+02
0.2800 4.0000 3.7200 1.1671E+03 1.6973E+02 1.1671E+03 9.0621E+02 1.3593E+02 7.5672E+02
0.2800 4.0000 3.7200 1.1039E+03 1.6280E+02 1.1039E+03 8.5081E+02 1.2762E+02 7.0412E+02
0.2800 4.0000 3.7200 1.0323E+03 1.5490E+02 1.0323E+03 7.8828E+02 1.1824E+02 6.4496E+02
0.2800 4.0000 3.7200 9.5292E+02 1.4607E+02 9.5292E+02 7.1920E+02 1.0788E+02 5.7990E+02
0.2800 4.0000 3.7200 8.6624E+02 1.3639E+02 8.6624E+02 6.4418E+02 9.6626E+01 5.0976E+02
0.2800 4.0000 3.7200 7.7297E+02 1.2597E+02 7.7297E+02 5.6391E+02 8.4586E+01 4.3549E+02
0.2800 4.0000 3.7200 6.7382E+02 1.1493E+02 6.7382E+02 4.7921E+02 7.1881E+01 3.5821E+02
0.2800 4.0000 3.7200 5.6953E+02 1.0330E+02 5.6953E+02 3.9109E+02 5.8663E+01 2.7940E+02
0.2800 4.0000 3.7200 4.6092E+02 9.0964E+01 4.6092E+02 3.0092E+02 4.5138E+01 2.0098E+02
0.2800 4.0000 3.7200 3.4879E+02 7.7431E+01 3.4879E+02 2.1073E+02 3.1609E+01 1.2587E+02
0.2800 4.0000 3.7200 2.3401E+02 6.1354E+01 2.3401E+02 1.2391E+02 1.8586E+01 5.9119E+01
