-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3476E+03  2.5839E+02  1.3476E+03  9.8607E+02  1.4791E+02  8.2100E+02
     0.2800     4.0000     3.7200  1.3425E+03  2.5781E+02  1.3425E+03  9.8158E+02  1.4724E+02  8.1675E+02
     0.2800     4.0000     3.7200  1.3272E+03  2.5607E+02  1.3272E+03  9.6816E+02  1.4522E+02  8.0406E+02
     0.2800     4.0000     3.7200  1.3017E+03  2.5318E+02  1.3017E+03  9.4595E+02  1.4189E+02  7.8307E+02
     0.2800     4.0000     3.7200  1.2664E+03  2.4914E+02  1.2664E+03  9.1515E+02  1.3727E+02  7.5400E+02
     0.2800     4.0000     3.7200  1.2214E+03  2.4395E+02  1.2214E+03  8.7608E+02  1.3141E+02  7.1717E+02
     0.2800     4.0000     3.7200  1.1671E+03  2.3762E+02  1.1671E+03  8.2913E+02  1.2437E+02  6.7301E+02
     0.2800     4.0000     3.7200  1.1039E+03  2.3016E+02  1.1039E+03  7.7478E+02  1.1622E+02  6.2204E+02
     0.2800     4.0000     3.7200  1.0323E+03  2.2156E+02  1.0323E+03  7.1363E+02  1.0704E+02  5.6489E+02
     0.2800     4.0000     3.7200  9.5292E+02  2.1177E+02  9.5292E+02  6.4634E+02  9.6951E+01  5.0233E+02
     0.2800     4.0000     3.7200  8.6624E+02  2.0076E+02  8.6624E+02  5.7373E+02  8.6059E+01  4.3526E+02
     0.2800     4.0000     3.7200  7.7297E+02  1.8842E+02  7.7297E+02  4.9671E+02  7.4507E+01  3.6481E+02
     0.2800     4.0000     3.7200  6.7382E+02  1.7455E+02  6.7382E+02  4.1642E+02  6.2463E+01  2.9235E+02
     0.2800     4.0000     3.7200  5.6953E+02  1.5882E+02  5.6953E+02  3.3422E+02  5.0133E+01  2.1968E+02
     0.2800     4.0000     3.7200  4.6092E+02  1.4063E+02  4.6092E+02  2.5192E+02  3.7787E+01  1.4930E+02
     0.2800     4.0000     3.7200  3.4879E+02  1.1881E+02  3.4879E+02  1.7205E+02  2.5807E+01  8.4962E+01
     0.2800     4.0000     3.7200  2.3401E+02  9.0991E+01  2.3401E+02  9.8623E+01  1.4793E+01  3.2885E+01
----------------------------------------------------------------------------------------------------------
