# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3476E+03 1.9275E+02 1.3476E+03 1.0604E+03 1.5906E+02 8.2100E+02
0.2800 4.0000 3.7200 1.3425E+03 1.9222E+02 1.3425E+03 1.0558E+03 1.5837E+02 8.1675E+02
0.2800 4.0000 3.7200 1.3272E+03 1.9064E+02 1.3272E+03 1.0421E+03 1.5631E+02 8.0406E+02
0.2800 4.0000 3.7200 1.3017E+03 1.8803E+02 1.3017E+03 1.0194E+03 1.5290E+02 7.8307E+02
0.2800 4.0000 3.7200 1.2664E+03 1.8443E+02 1.2664E+03 9.8781E+02 1.4817E+02 7.5400E+02
0.2800 4.0000 3.7200 1.2214E+03 1.7988E+02 1.2214E+03 9.4772E+02 1.4216E+02 7.1717E+02
0.2800 4.0000 3.7200 1.1671E+03 1.7441E+02 1.1671E+03 8.9943E+02 1.3491E+02 6.7301E+02
0.2800 4.0000 3.7200 1.1039E+03 1.6806E+02 1.1039E+03 8.4338E+02 1.2651E+02 6.2204E+02
0.2800 4.0000 3.7200 1.0323E+03 1.6092E+02 1.0323E+03 7.8004E+02 1.1701E+02 5.6489E+02
0.2800 4.0000 3.7200 9.5292E+02 1.5306E+02 9.5292E+02 7.0995E+02 1.0649E+02 5.0233E+02
0.2800 4.0000 3.7200 8.6624E+02 1.4462E+02 8.6624E+02 6.3372E+02 9.5058E+01 4.3526E+02
0.2800 4.0000 3.7200 7.7297E+02 1.3573E+02 7.7297E+02 5.5207E+02 8.2810E+01 3.6481E+02
0.2800 4.0000 3.7200 6.7382E+02 1.2644E+02 6.7382E+02 4.6592E+02 6.9888E+01 2.9235E+02
0.2800 4.0000 3.7200 5.6953E+02 1.1665E+02 5.6953E+02 3.7650E+02 5.6475E+01 2.1968E+02
0.2800 4.0000 3.7200 4.6092E+02 1.0590E+02 4.6092E+02 2.8561E+02 4.2841E+01 1.4930E+02
0.2800 4.0000 3.7200 3.4879E+02 9.2985E+01 3.4879E+02 1.9597E+02 2.9396E+01 8.4962E+01
0.2800 4.0000 3.7200 2.3401E+02 7.5240E+01 2.3401E+02 1.1221E+02 1.6832E+01 3.2885E+01
