-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3476E+03  1.9115E+02  1.3476E+03  1.0623E+03  1.5935E+02  8.2100E+02
     0.2800     4.0000     3.7200  1.3425E+03  1.9060E+02  1.3425E+03  1.0577E+03  1.5866E+02  8.1675E+02
     0.2800     4.0000     3.7200  1.3272E+03  1.8896E+02  1.3272E+03  1.0441E+03  1.5661E+02  8.0406E+02
     0.2800     4.0000     3.7200  1.3017E+03  1.8626E+02  1.3017E+03  1.0214E+03  1.5321E+02  7.8307E+02
     0.2800     4.0000     3.7200  1.2664E+03  1.8254E+02  1.2664E+03  9.8995E+02  1.4849E+02  7.5400E+02
     0.2800     4.0000     3.7200  1.2214E+03  1.7783E+02  1.2214E+03  9.5000E+02  1.4250E+02  7.1717E+02
     0.2800     4.0000     3.7200  1.1671E+03  1.7216E+02  1.1671E+03  9.0192E+02  1.3529E+02  6.7301E+02
     0.2800     4.0000     3.7200  1.1039E+03  1.6553E+02  1.1039E+03  8.4617E+02  1.2692E+02  6.2204E+02
     0.2800     4.0000     3.7200  1.0323E+03  1.5798E+02  1.0323E+03  7.8324E+02  1.1749E+02  5.6489E+02
     0.2800     4.0000     3.7200  9.5292E+02  1.4957E+02  9.5292E+02  7.1368E+02  1.0705E+02  5.0233E+02
     0.2800     4.0000     3.7200  8.6624E+02  1.4041E+02  8.6624E+02  6.3807E+02  9.5711E+01  4.3526E+02
     0.2800     4.0000     3.7200  7.7297E+02  1.3062E+02  7.7297E+02  5.5709E+02  8.3563E+01  3.6481E+02
     0.2800     4.0000     3.7200  6.7382E+02  1.2035E+02  6.7382E+02  4.7152E+02  7.0728E+01  2.9235E+02
     0.2800     4.0000     3.7200  5.6953E+02  1.0959E+02  5.6953E+02  3.8245E+02  5.7368E+01  2.1968E+02
     0.2800     4.0000     3.7200  4.6092E+02  9.8080E+01  4.6092E+02  2.9147E+02  4.3720E+01  1.4930E+02
     0.2800     4.0000     3.7200  3.4879E+02  8.4944E+01  3.4879E+02  2.0104E+02  3.0156E+01  8.4962E+01
     0.2800     4.0000     3.7200  2.3401E+02  6.8022E+01  2.3401E+02  1.1548E+02  1.7322E+01  3.2885E+01
----------------------------------------------------------------------------------------------------------
