# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7000 1.3323E+03 1.9765E+02 1.3323E+03 1.1143E+03 1.6714E+02 8.6694E+02
0.2800 4.0000 3.7000 1.3273E+03 1.9708E+02 1.3273E+03 1.1096E+03 1.6644E+02 8.6256E+02
0.2800 4.0000 3.7000 1.3121E+03 1.9536E+02 1.3121E+03 1.0956E+03 1.6434E+02 8.4944E+02
0.2800 4.0000 3.7000 1.2869E+03 1.9255E+02 1.2869E+03 1.0723E+03 1.6085E+02 8.2774E+02
0.2800 4.0000 3.7000 1.2520E+03 1.8867E+02 1.2520E+03 1.0400E+03 1.5600E+02 7.9766E+02
0.2800 4.0000 3.7000 1.2075E+03 1.8376E+02 1.2075E+03 9.9897E+02 1.4985E+02 7.5951E+02
0.2800 4.0000 3.7000 1.1538E+03 1.7784E+02 1.1538E+03 9.4951E+02 1.4243E+02 7.1372E+02
0.2800 4.0000 3.7000 1.0914E+03 1.7093E+02 1.0914E+03 8.9208E+02 1.3381E+02 6.6078E+02
0.2800 4.0000 3.7000 1.0206E+03 1.6308E+02 1.0206E+03 8.2716E+02 1.2407E+02 6.0130E+02
0.2800 4.0000 3.7000 9.4211E+02 1.5434E+02 9.4211E+02 7.5526E+02 1.1329E+02 5.3604E+02
0.2800 4.0000 3.7000 8.5641E+02 1.4484E+02 8.5641E+02 6.7693E+02 1.0154E+02 4.6587E+02
0.2800 4.0000 3.7000 7.6420E+02 1.3474E+02 7.6420E+02 5.9276E+02 8.8913E+01 3.9188E+02
0.2800 4.0000 3.7000 6.6617E+02 1.2418E+02 6.6617E+02 5.0346E+02 7.5519E+01 3.1545E+02
0.2800 4.0000 3.7000 5.6307E+02 1.1321E+02 5.6307E+02 4.1004E+02 6.1506E+01 2.3838E+02
0.2800 4.0000 3.7000 4.5569E+02 1.0153E+02 4.5569E+02 3.1400E+02 4.7101E+01 1.6320E+02
0.2800 4.0000 3.7000 3.4483E+02 8.8250E+01 3.4483E+02 2.1781E+02 3.2672E+01 9.3834E+01
0.2800 4.0000 3.7000 2.3136E+02 7.1083E+01 2.3136E+02 1.2589E+02 1.8884E+01 3.6935E+01
