-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3476E+03  1.9797E+02  1.3476E+03  1.0495E+03  1.5742E+02  6.8234E+02
     0.2800     4.0000     3.7200  1.3425E+03  1.9749E+02  1.3425E+03  1.0448E+03  1.5672E+02  6.7833E+02
     0.2800     4.0000     3.7200  1.3272E+03  1.9604E+02  1.3272E+03  1.0309E+03  1.5464E+02  6.6637E+02
     0.2800     4.0000     3.7200  1.3017E+03  1.9368E+02  1.3017E+03  1.0079E+03  1.5119E+02  6.4661E+02
     0.2800     4.0000     3.7200  1.2664E+03  1.9043E+02  1.2664E+03  9.7596E+02  1.4639E+02  6.1931E+02
     0.2800     4.0000     3.7200  1.2214E+03  1.8633E+02  1.2214E+03  9.3537E+02  1.4031E+02  5.8484E+02
     0.2800     4.0000     3.7200  1.1671E+03  1.8142E+02  1.1671E+03  8.8652E+02  1.3298E+02  5.4368E+02
     0.2800     4.0000     3.7200  1.1039E+03  1.7571E+02  1.1039E+03  8.2983E+02  1.2448E+02  4.9646E+02
     0.2800     4.0000     3.7200  1.0323E+03  1.6926E+02  1.0323E+03  7.6580E+02  1.1487E+02  4.4392E+02
     0.2800     4.0000     3.7200  9.5292E+02  1.6214E+02  9.5292E+02  6.9496E+02  1.0424E+02  3.8698E+02
     0.2800     4.0000     3.7200  8.6624E+02  1.5446E+02  8.6624E+02  6.1794E+02  9.2691E+01  3.2677E+02
     0.2800     4.0000     3.7200  7.7297E+02  1.4633E+02  7.7297E+02  5.3550E+02  8.0324E+01  2.6468E+02
     0.2800     4.0000     3.7200  6.7382E+02  1.3778E+02  6.7382E+02  4.4866E+02  6.7299E+01  2.0245E+02
     0.2800     4.0000     3.7200  5.6953E+02  1.2855E+02  5.6953E+02  3.5893E+02  5.3840E+01  1.4239E+02
     0.2800     4.0000     3.7200  4.6092E+02  1.1789E+02  4.6092E+02  2.6856E+02  4.0285E+01  8.7541E+01
     0.2800     4.0000     3.7200  3.4879E+02  1.0407E+02  3.4879E+02  1.8104E+02  2.7157E+01  4.2132E+01
     0.2800     4.0000     3.7200  2.3401E+02  8.3679E+01  2.3401E+02  1.0189E+02  1.5284E+01  1.1685E+01
----------------------------------------------------------------------------------------------------------
