# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3476E+03 1.9605E+02 1.3476E+03 1.0393E+03 1.5590E+02 7.0709E+02
0.2800 4.0000 3.7200 1.3425E+03 1.9557E+02 1.3425E+03 1.0347E+03 1.5520E+02 7.0305E+02
0.2800 4.0000 3.7200 1.3272E+03 1.9414E+02 1.3272E+03 1.0208E+03 1.5312E+02 6.9098E+02
0.2800 4.0000 3.7200 1.3017E+03 1.9178E+02 1.3017E+03 9.9786E+02 1.4968E+02 6.7104E+02
0.2800 4.0000 3.7200 1.2664E+03 1.8855E+02 1.2664E+03 9.6600E+02 1.4490E+02 6.4347E+02
0.2800 4.0000 3.7200 1.2214E+03 1.8446E+02 1.2214E+03 9.2554E+02 1.3883E+02 6.0865E+02
0.2800 4.0000 3.7200 1.1671E+03 1.7955E+02 1.1671E+03 8.7685E+02 1.3153E+02 5.6705E+02
0.2800 4.0000 3.7200 1.1039E+03 1.7383E+02 1.1039E+03 8.2036E+02 1.2305E+02 5.1926E+02
0.2800 4.0000 3.7200 1.0323E+03 1.6735E+02 1.0323E+03 7.5659E+02 1.1349E+02 4.6602E+02
0.2800 4.0000 3.7200 9.5292E+02 1.6017E+02 9.5292E+02 6.8611E+02 1.0292E+02 4.0821E+02
0.2800 4.0000 3.7200 8.6624E+02 1.5237E+02 8.6624E+02 6.0957E+02 9.1436E+01 3.4693E+02
0.2800 4.0000 3.7200 7.7297E+02 1.4402E+02 7.7297E+02 5.2780E+02 7.9171E+01 2.8350E+02
0.2800 4.0000 3.7200 6.7382E+02 1.3512E+02 6.7382E+02 4.4189E+02 6.6284E+01 2.1959E+02
0.2800 4.0000 3.7200 5.6953E+02 1.2542E+02 5.6953E+02 3.5335E+02 5.3003E+01 1.5738E+02
0.2800 4.0000 3.7200 4.6092E+02 1.1426E+02 4.6092E+02 2.6438E+02 3.9657E+01 9.9761E+01
0.2800 4.0000 3.7200 3.4879E+02 1.0012E+02 3.4879E+02 1.7833E+02 2.6749E+01 5.0784E+01
0.2800 4.0000 3.7200 2.3401E+02 7.9996E+01 2.3401E+02 1.0039E+02 1.5059E+01 1.5999E+01
