-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3476E+03  1.9801E+02  1.3476E+03  1.0426E+03  1.5640E+02  7.1200E+02
     0.2800     4.0000     3.7200  1.3425E+03  1.9753E+02  1.3425E+03  1.0380E+03  1.5570E+02  7.0795E+02
     0.2800     4.0000     3.7200  1.3272E+03  1.9610E+02  1.3272E+03  1.0241E+03  1.5362E+02  6.9587E+02
     0.2800     4.0000     3.7200  1.3017E+03  1.9374E+02  1.3017E+03  1.0012E+03  1.5017E+02  6.7589E+02
     0.2800     4.0000     3.7200  1.2664E+03  1.9050E+02  1.2664E+03  9.6927E+02  1.4539E+02  6.4828E+02
     0.2800     4.0000     3.7200  1.2214E+03  1.8639E+02  1.2214E+03  9.2878E+02  1.3932E+02  6.1339E+02
     0.2800     4.0000     3.7200  1.1671E+03  1.8145E+02  1.1671E+03  8.8004E+02  1.3201E+02  5.7171E+02
     0.2800     4.0000     3.7200  1.1039E+03  1.7571E+02  1.1039E+03  8.2351E+02  1.2353E+02  5.2381E+02
     0.2800     4.0000     3.7200  1.0323E+03  1.6919E+02  1.0323E+03  7.5968E+02  1.1395E+02  4.7044E+02
     0.2800     4.0000     3.7200  9.5292E+02  1.6195E+02  9.5292E+02  6.8913E+02  1.0337E+02  4.1248E+02
     0.2800     4.0000     3.7200  8.6624E+02  1.5408E+02  8.6624E+02  6.1252E+02  9.1878E+01  3.5100E+02
     0.2800     4.0000     3.7200  7.7297E+02  1.4564E+02  7.7297E+02  5.3068E+02  7.9602E+01  2.8732E+02
     0.2800     4.0000     3.7200  6.7382E+02  1.3660E+02  6.7382E+02  4.4467E+02  6.6701E+01  2.2310E+02
     0.2800     4.0000     3.7200  5.6953E+02  1.2673E+02  5.6953E+02  3.5599E+02  5.3399E+01  1.6048E+02
     0.2800     4.0000     3.7200  4.6092E+02  1.1532E+02  4.6092E+02  2.6681E+02  4.0021E+01  1.0234E+02
     0.2800     4.0000     3.7200  3.4879E+02  1.0089E+02  3.4879E+02  1.8040E+02  2.7059E+01  5.2679E+01
     0.2800     4.0000     3.7200  2.3401E+02  8.0461E+01  2.3401E+02  1.0187E+02  1.5281E+01  1.7019E+01
----------------------------------------------------------------------------------------------------------
