# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3476E+03 1.7930E+02 1.3476E+03 1.0035E+03 1.5052E+02 7.0502E+02
0.2800 4.0000 3.7200 1.3425E+03 1.7883E+02 1.3425E+03 9.9887E+02 1.4983E+02 7.0098E+02
0.2800 4.0000 3.7200 1.3272E+03 1.7742E+02 1.3272E+03 9.8516E+02 1.4777E+02 6.8892E+02
0.2800 4.0000 3.7200 1.3017E+03 1.7511E+02 1.3017E+03 9.6246E+02 1.4437E+02 6.6898E+02
0.2800 4.0000 3.7200 1.2664E+03 1.7194E+02 1.2664E+03 9.3098E+02 1.3965E+02 6.4144E+02
0.2800 4.0000 3.7200 1.2214E+03 1.6795E+02 1.2214E+03 8.9105E+02 1.3366E+02 6.0664E+02
0.2800 4.0000 3.7200 1.1671E+03 1.6317E+02 1.1671E+03 8.4302E+02 1.2645E+02 5.6506E+02
0.2800 4.0000 3.7200 1.1039E+03 1.5761E+02 1.1039E+03 7.8736E+02 1.1810E+02 5.1731E+02
0.2800 4.0000 3.7200 1.0323E+03 1.5131E+02 1.0323E+03 7.2458E+02 1.0869E+02 4.6412E+02
0.2800 4.0000 3.7200 9.5292E+02 1.4432E+02 9.5292E+02 6.5527E+02 9.8291E+01 4.0637E+02
0.2800 4.0000 3.7200 8.6624E+02 1.3676E+02 8.6624E+02 5.8015E+02 8.7023E+01 3.4516E+02
0.2800 4.0000 3.7200 7.7297E+02 1.2873E+02 7.7297E+02 5.0010E+02 7.5016E+01 2.8183E+02
0.2800 4.0000 3.7200 6.7382E+02 1.2030E+02 6.7382E+02 4.1631E+02 6.2447E+01 2.1805E+02
0.2800 4.0000 3.7200 5.6953E+02 1.1136E+02 5.6953E+02 3.3042E+02 4.9564E+01 1.5600E+02
0.2800 4.0000 3.7200 4.6092E+02 1.0138E+02 4.6092E+02 2.4480E+02 3.6720E+01 9.8605E+01
0.2800 4.0000 3.7200 3.4879E+02 8.9097E+01 3.4879E+02 1.6293E+02 2.4440E+01 4.9933E+01
0.2800 4.0000 3.7200 2.3401E+02 7.1727E+01 2.3401E+02 9.0142E+01 1.3521E+01 1.5544E+01
