-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3533E+03  1.9291E+02  1.3533E+03  1.0675E+03  1.6012E+02  8.2493E+02
     0.2800     4.0000     3.7200  1.3482E+03  1.9237E+02  1.3482E+03  1.0629E+03  1.5943E+02  8.2067E+02
     0.2800     4.0000     3.7200  1.3328E+03  1.9076E+02  1.3328E+03  1.0491E+03  1.5737E+02  8.0791E+02
     0.2800     4.0000     3.7200  1.3072E+03  1.8810E+02  1.3072E+03  1.0263E+03  1.5395E+02  7.8681E+02
     0.2800     4.0000     3.7200  1.2717E+03  1.8444E+02  1.2717E+03  9.9471E+02  1.4921E+02  7.5758E+02
     0.2800     4.0000     3.7200  1.2265E+03  1.7981E+02  1.2265E+03  9.5454E+02  1.4318E+02  7.2056E+02
     0.2800     4.0000     3.7200  1.1720E+03  1.7422E+02  1.1720E+03  9.0622E+02  1.3593E+02  6.7617E+02
     0.2800     4.0000     3.7200  1.1086E+03  1.6770E+02  1.1086E+03  8.5016E+02  1.2752E+02  6.2494E+02
     0.2800     4.0000     3.7200  1.0367E+03  1.6027E+02  1.0367E+03  7.8688E+02  1.1803E+02  5.6749E+02
     0.2800     4.0000     3.7200  9.5694E+02  1.5202E+02  9.5694E+02  7.1693E+02  1.0754E+02  5.0461E+02
     0.2800     4.0000     3.7200  8.6990E+02  1.4309E+02  8.6990E+02  6.4088E+02  9.6132E+01  4.3720E+02
     0.2800     4.0000     3.7200  7.7623E+02  1.3367E+02  7.7623E+02  5.5943E+02  8.3914E+01  3.6639E+02
     0.2800     4.0000     3.7200  6.7666E+02  1.2393E+02  6.7666E+02  4.7339E+02  7.1009E+01  2.9356E+02
     0.2800     4.0000     3.7200  5.7194E+02  1.1390E+02  5.7194E+02  3.8391E+02  5.7587E+01  2.2053E+02
     0.2800     4.0000     3.7200  4.6286E+02  1.0329E+02  4.6286E+02  2.9261E+02  4.3891E+01  1.4981E+02
     0.2800     4.0000     3.7200  3.5027E+02  9.1132E+01  3.5027E+02  2.0204E+02  3.0306E+01  8.5187E+01
     0.2800     4.0000     3.7200  2.3500E+02  7.4946E+01  2.3500E+02  1.1657E+02  1.7485E+01  3.2923E+01
----------------------------------------------------------------------------------------------------------
