# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3533E+03 2.0209E+02 1.3533E+03 1.0517E+03 1.5775E+02 5.4965E+02
0.2800 4.0000 3.7200 1.3482E+03 2.0164E+02 1.3482E+03 1.0470E+03 1.5705E+02 5.4596E+02
0.2800 4.0000 3.7200 1.3328E+03 2.0029E+02 1.3328E+03 1.0330E+03 1.5494E+02 5.3495E+02
0.2800 4.0000 3.7200 1.3072E+03 1.9808E+02 1.3072E+03 1.0097E+03 1.5145E+02 5.1679E+02
0.2800 4.0000 3.7200 1.2717E+03 1.9506E+02 1.2717E+03 9.7739E+02 1.4661E+02 4.9179E+02
0.2800 4.0000 3.7200 1.2265E+03 1.9128E+02 1.2265E+03 9.3635E+02 1.4045E+02 4.6037E+02
0.2800 4.0000 3.7200 1.1720E+03 1.8676E+02 1.1720E+03 8.8693E+02 1.3304E+02 4.2309E+02
0.2800 4.0000 3.7200 1.1086E+03 1.8153E+02 1.1086E+03 8.2957E+02 1.2444E+02 3.8067E+02
0.2800 4.0000 3.7200 1.0367E+03 1.7566E+02 1.0367E+03 7.6476E+02 1.1471E+02 3.3400E+02
0.2800 4.0000 3.7200 9.5694E+02 1.6927E+02 9.5694E+02 6.9303E+02 1.0395E+02 2.8414E+02
0.2800 4.0000 3.7200 8.6990E+02 1.6249E+02 8.6990E+02 6.1501E+02 9.2252E+01 2.3242E+02
0.2800 4.0000 3.7200 7.7623E+02 1.5544E+02 7.7623E+02 5.3152E+02 7.9728E+01 1.8046E+02
0.2800 4.0000 3.7200 6.7666E+02 1.4809E+02 6.7666E+02 4.4367E+02 6.6551E+01 1.3027E+02
0.2800 4.0000 3.7200 5.7194E+02 1.4000E+02 5.7194E+02 3.5319E+02 5.2978E+01 8.4315E+01
0.2800 4.0000 3.7200 4.6286E+02 1.2996E+02 4.6286E+02 2.6267E+02 3.9401E+01 4.5646E+01
0.2800 4.0000 3.7200 3.5027E+02 1.1552E+02 3.5027E+02 1.7609E+02 2.6414E+01 1.7698E+01
0.2800 4.0000 3.7200 2.3500E+02 9.2288E+01 2.3500E+02 9.9196E+01 1.4879E+01 3.1570E+00
