# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3476E+03 1.9359E+02 1.3476E+03 1.0613E+03 1.5984E+02 8.2100E+02
0.2800 4.0000 3.7200 1.3425E+03 1.9304E+02 1.3425E+03 1.0568E+03 1.5915E+02 8.1675E+02
0.2800 4.0000 3.7200 1.3272E+03 1.9139E+02 1.3272E+03 1.0431E+03 1.5710E+02 8.0406E+02
0.2800 4.0000 3.7200 1.3017E+03 1.8867E+02 1.3017E+03 1.0205E+03 1.5371E+02 7.8307E+02
0.2800 4.0000 3.7200 1.2664E+03 1.8489E+02 1.2664E+03 9.8913E+02 1.4901E+02 7.5400E+02
0.2800 4.0000 3.7200 1.2214E+03 1.8010E+02 1.2214E+03 9.4926E+02 1.4303E+02 7.1717E+02
0.2800 4.0000 3.7200 1.1671E+03 1.7433E+02 1.1671E+03 9.0125E+02 1.3582E+02 6.7301E+02
0.2800 4.0000 3.7200 1.1039E+03 1.6762E+02 1.1039E+03 8.4553E+02 1.2747E+02 6.2204E+02
0.2800 4.0000 3.7200 1.0323E+03 1.6003E+02 1.0323E+03 7.8260E+02 1.1803E+02 5.6489E+02
0.2800 4.0000 3.7200 9.5292E+02 1.5162E+02 9.5292E+02 7.1302E+02 1.0759E+02 5.0233E+02
0.2800 4.0000 3.7200 8.6624E+02 1.4249E+02 8.6624E+02 6.3743E+02 9.6251E+01 4.3526E+02
0.2800 4.0000 3.7200 7.7297E+02 1.3272E+02 7.7297E+02 5.5659E+02 8.4124E+01 3.6481E+02
0.2800 4.0000 3.7200 6.7382E+02 1.2234E+02 6.7382E+02 4.7139E+02 7.1345E+01 2.9235E+02
0.2800 4.0000 3.7200 5.6953E+02 1.1130E+02 5.6953E+02 3.8299E+02 5.8084E+01 2.1968E+02
0.2800 4.0000 3.7200 4.6092E+02 9.9309E+01 4.6092E+02 2.9291E+02 4.4572E+01 1.4930E+02
0.2800 4.0000 3.7200 3.4879E+02 8.5625E+01 3.4879E+02 2.0343E+02 3.1151E+01 8.4962E+01
0.2800 4.0000 3.7200 2.3401E+02 6.8469E+01 2.3401E+02 1.1836E+02 1.8389E+01 3.2885E+01
