# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3476E+03 1.9315E+02 1.3476E+03 1.0610E+03 1.5915E+02 8.2100E+02
0.2800 4.0000 3.7200 1.3425E+03 1.9260E+02 1.3425E+03 1.0564E+03 1.5847E+02 8.1675E+02
0.2800 4.0000 3.7200 1.3272E+03 1.9095E+02 1.3272E+03 1.0428E+03 1.5642E+02 8.0406E+02
0.2800 4.0000 3.7200 1.3017E+03 1.8823E+02 1.3017E+03 1.0202E+03 1.5303E+02 7.8307E+02
0.2800 4.0000 3.7200 1.2664E+03 1.8444E+02 1.2664E+03 9.8886E+02 1.4833E+02 7.5400E+02
0.2800 4.0000 3.7200 1.2214E+03 1.7962E+02 1.2214E+03 9.4903E+02 1.4235E+02 7.1717E+02
0.2800 4.0000 3.7200 1.1671E+03 1.7383E+02 1.1671E+03 9.0104E+02 1.3516E+02 6.7301E+02
0.2800 4.0000 3.7200 1.1039E+03 1.6711E+02 1.1039E+03 8.4532E+02 1.2680E+02 6.2204E+02
0.2800 4.0000 3.7200 1.0323E+03 1.5954E+02 1.0323E+03 7.8235E+02 1.1735E+02 5.6489E+02
0.2800 4.0000 3.7200 9.5292E+02 1.5119E+02 9.5292E+02 7.1273E+02 1.0691E+02 5.0233E+02
0.2800 4.0000 3.7200 8.6624E+02 1.4210E+02 8.6624E+02 6.3712E+02 9.5569E+01 4.3526E+02
0.2800 4.0000 3.7200 7.7297E+02 1.3233E+02 7.7297E+02 5.5633E+02 8.3449E+01 3.6481E+02
0.2800 4.0000 3.7200 6.7382E+02 1.2189E+02 6.7382E+02 4.7124E+02 7.0685E+01 2.9235E+02
0.2800 4.0000 3.7200 5.6953E+02 1.1075E+02 5.6953E+02 3.8294E+02 5.7442E+01 2.1968E+02
0.2800 4.0000 3.7200 4.6092E+02 9.8708E+01 4.6092E+02 2.9291E+02 4.3937E+01 1.4930E+02
0.2800 4.0000 3.7200 3.4879E+02 8.5086E+01 3.4879E+02 2.0336E+02 3.0504E+01 8.4962E+01
0.2800 4.0000 3.7200 2.3401E+02 6.8093E+01 2.3401E+02 1.1812E+02 1.7718E+01 3.2885E+01
