-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3476E+03  1.9310E+02  1.3476E+03  1.0611E+03  1.5916E+02  8.2100E+02
     0.2800     4.0000     3.7200  1.3425E+03  1.9255E+02  1.3425E+03  1.0565E+03  1.5847E+02  8.1675E+02
     0.2800     4.0000     3.7200  1.3272E+03  1.9090E+02  1.3272E+03  1.0429E+03  1.5643E+02  8.0406E+02
     0.2800     4.0000     3.7200  1.3017E+03  1.8818E+02  1.3017E+03  1.0202E+03  1.5304E+02  7.8307E+02
     0.2800     4.0000     3.7200  1.2664E+03  1.8440E+02  1.2664E+03  9.8886E+02  1.4833E+02  7.5400E+02
     0.2800     4.0000     3.7200  1.2214E+03  1.7961E+02  1.2214E+03  9.4899E+02  1.4235E+02  7.1717E+02
     0.2800     4.0000     3.7200  1.1671E+03  1.7384E+02  1.1671E+03  9.0098E+02  1.3515E+02  6.7301E+02
     0.2800     4.0000     3.7200  1.1039E+03  1.6713E+02  1.1039E+03  8.4526E+02  1.2679E+02  6.2204E+02
     0.2800     4.0000     3.7200  1.0323E+03  1.5954E+02  1.0323E+03  7.8233E+02  1.1735E+02  5.6489E+02
     0.2800     4.0000     3.7200  9.5292E+02  1.5113E+02  9.5292E+02  7.1275E+02  1.0691E+02  5.0233E+02
     0.2800     4.0000     3.7200  8.6624E+02  1.4200E+02  8.6624E+02  6.3716E+02  9.5574E+01  4.3526E+02
     0.2800     4.0000     3.7200  7.7297E+02  1.3222E+02  7.7297E+02  5.5632E+02  8.3448E+01  3.6481E+02
     0.2800     4.0000     3.7200  6.7382E+02  1.2185E+02  6.7382E+02  4.7112E+02  7.0668E+01  2.9235E+02
     0.2800     4.0000     3.7200  5.6953E+02  1.1081E+02  5.6953E+02  3.8271E+02  5.7407E+01  2.1968E+02
     0.2800     4.0000     3.7200  4.6092E+02  9.8814E+01  4.6092E+02  2.9264E+02  4.3896E+01  1.4930E+02
     0.2800     4.0000     3.7200  3.4879E+02  8.5129E+01  3.4879E+02  2.0316E+02  3.0475E+01  8.4962E+01
     0.2800     4.0000     3.7200  2.3401E+02  6.7972E+01  2.3401E+02  1.1809E+02  1.7713E+01  3.2885E+01
----------------------------------------------------------------------------------------------------------
