# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3476E+03 1.9890E+02 1.3476E+03 1.0527E+03 1.5791E+02 6.7014E+02
0.2800 4.0000 3.7200 1.3425E+03 1.9838E+02 1.3425E+03 1.0481E+03 1.5722E+02 6.6616E+02
0.2800 4.0000 3.7200 1.3272E+03 1.9684E+02 1.3272E+03 1.0343E+03 1.5515E+02 6.5427E+02
0.2800 4.0000 3.7200 1.3017E+03 1.9430E+02 1.3017E+03 1.0115E+03 1.5172E+02 6.3462E+02
0.2800 4.0000 3.7200 1.2664E+03 1.9080E+02 1.2664E+03 9.7978E+02 1.4697E+02 6.0748E+02
0.2800 4.0000 3.7200 1.2214E+03 1.8637E+02 1.2214E+03 9.3949E+02 1.4092E+02 5.7323E+02
0.2800 4.0000 3.7200 1.1671E+03 1.8106E+02 1.1671E+03 8.9096E+02 1.3364E+02 5.3235E+02
0.2800 4.0000 3.7200 1.1039E+03 1.7492E+02 1.1039E+03 8.3461E+02 1.2519E+02 4.8547E+02
0.2800 4.0000 3.7200 1.0323E+03 1.6803E+02 1.0323E+03 7.7093E+02 1.1564E+02 4.3335E+02
0.2800 4.0000 3.7200 9.5292E+02 1.6047E+02 9.5292E+02 7.0049E+02 1.0507E+02 3.7693E+02
0.2800 4.0000 3.7200 8.6624E+02 1.5233E+02 8.6624E+02 6.2394E+02 9.3592E+01 3.1735E+02
0.2800 4.0000 3.7200 7.7297E+02 1.4371E+02 7.7297E+02 5.4208E+02 8.1312E+01 2.5602E+02
0.2800 4.0000 3.7200 6.7382E+02 1.3459E+02 6.7382E+02 4.5592E+02 6.8388E+01 1.9474E+02
0.2800 4.0000 3.7200 5.6953E+02 1.2476E+02 5.6953E+02 3.6682E+02 5.5024E+01 1.3583E+02
0.2800 4.0000 3.7200 4.6092E+02 1.1362E+02 4.6092E+02 2.7674E+02 4.1511E+01 8.2404E+01
0.2800 4.0000 3.7200 3.4879E+02 9.9808E+01 3.4879E+02 1.8861E+02 2.8292E+01 3.8720E+01
0.2800 4.0000 3.7200 2.3401E+02 8.0431E+01 2.3401E+02 1.0728E+02 1.6092E+01 1.0180E+01
