-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3476E+03  1.9277E+02  1.3476E+03  1.0611E+03  1.5917E+02  8.2100E+02
     0.2800     4.0000     3.7200  1.3425E+03  1.9222E+02  1.3425E+03  1.0566E+03  1.5849E+02  8.1675E+02
     0.2800     4.0000     3.7200  1.3272E+03  1.9056E+02  1.3272E+03  1.0429E+03  1.5644E+02  8.0406E+02
     0.2800     4.0000     3.7200  1.3017E+03  1.8781E+02  1.3017E+03  1.0203E+03  1.5305E+02  7.8307E+02
     0.2800     4.0000     3.7200  1.2664E+03  1.8401E+02  1.2664E+03  9.8896E+02  1.4834E+02  7.5400E+02
     0.2800     4.0000     3.7200  1.2214E+03  1.7917E+02  1.2214E+03  9.4910E+02  1.4237E+02  7.1717E+02
     0.2800     4.0000     3.7200  1.1671E+03  1.7335E+02  1.1671E+03  9.0110E+02  1.3517E+02  6.7301E+02
     0.2800     4.0000     3.7200  1.1039E+03  1.6657E+02  1.1039E+03  8.4539E+02  1.2681E+02  6.2204E+02
     0.2800     4.0000     3.7200  1.0323E+03  1.5890E+02  1.0323E+03  7.8247E+02  1.1737E+02  5.6489E+02
     0.2800     4.0000     3.7200  9.5292E+02  1.5040E+02  9.5292E+02  7.1290E+02  1.0694E+02  5.0233E+02
     0.2800     4.0000     3.7200  8.6624E+02  1.4114E+02  8.6624E+02  6.3732E+02  9.5598E+01  4.3526E+02
     0.2800     4.0000     3.7200  7.7297E+02  1.3120E+02  7.7297E+02  5.5648E+02  8.3472E+01  3.6481E+02
     0.2800     4.0000     3.7200  6.7382E+02  1.2062E+02  6.7382E+02  4.7126E+02  7.0689E+01  2.9235E+02
     0.2800     4.0000     3.7200  5.6953E+02  1.0933E+02  5.6953E+02  3.8280E+02  5.7420E+01  2.1968E+02
     0.2800     4.0000     3.7200  4.6092E+02  9.7058E+01  4.6092E+02  2.9262E+02  4.3893E+01  1.4930E+02
     0.2800     4.0000     3.7200  3.4879E+02  8.3080E+01  3.4879E+02  2.0298E+02  3.0447E+01  8.4962E+01
     0.2800     4.0000     3.7200  2.3401E+02  6.5690E+01  2.3401E+02  1.1766E+02  1.7649E+01  3.2885E+01
----------------------------------------------------------------------------------------------------------
