# WLINF WLSUP FFEW TOPDN TOPUP TOPDIR BOTDN BOTUP BOTDIR
0.2800 4.0000 3.7200 1.3476E+03 1.9302E+02 1.3476E+03 1.0609E+03 1.5914E+02 8.2161E+02
0.2800 4.0000 3.7200 1.3425E+03 1.9247E+02 1.3425E+03 1.0564E+03 1.5846E+02 8.1736E+02
0.2800 4.0000 3.7200 1.3272E+03 1.9082E+02 1.3272E+03 1.0427E+03 1.5641E+02 8.0467E+02
0.2800 4.0000 3.7200 1.3017E+03 1.8810E+02 1.3017E+03 1.0201E+03 1.5302E+02 7.8367E+02
0.2800 4.0000 3.7200 1.2664E+03 1.8432E+02 1.2664E+03 9.8874E+02 1.4831E+02 7.5459E+02
0.2800 4.0000 3.7200 1.2214E+03 1.7953E+02 1.2214E+03 9.4887E+02 1.4233E+02 7.1776E+02
0.2800 4.0000 3.7200 1.1671E+03 1.7375E+02 1.1671E+03 9.0087E+02 1.3513E+02 6.7359E+02
0.2800 4.0000 3.7200 1.1039E+03 1.6704E+02 1.1039E+03 8.4515E+02 1.2677E+02 6.2260E+02
0.2800 4.0000 3.7200 1.0323E+03 1.5945E+02 1.0323E+03 7.8222E+02 1.1733E+02 5.6544E+02
0.2800 4.0000 3.7200 9.5292E+02 1.5104E+02 9.5292E+02 7.1265E+02 1.0690E+02 5.0286E+02
0.2800 4.0000 3.7200 8.6624E+02 1.4190E+02 8.6624E+02 6.3707E+02 9.5561E+01 4.3578E+02
0.2800 4.0000 3.7200 7.7297E+02 1.3212E+02 7.7297E+02 5.5624E+02 8.3436E+01 3.6530E+02
0.2800 4.0000 3.7200 6.7382E+02 1.2173E+02 6.7382E+02 4.7105E+02 7.0658E+01 2.9280E+02
0.2800 4.0000 3.7200 5.6953E+02 1.1068E+02 5.6953E+02 3.8266E+02 5.7399E+01 2.2009E+02
0.2800 4.0000 3.7200 4.6092E+02 9.8679E+01 4.6092E+02 2.9260E+02 4.3889E+01 1.4965E+02
0.2800 4.0000 3.7200 3.4879E+02 8.4986E+01 3.4879E+02 2.0313E+02 3.0470E+01 8.5237E+01
0.2800 4.0000 3.7200 2.3401E+02 6.7833E+01 2.3401E+02 1.1806E+02 1.7710E+01 3.3055E+01
