-------------------------------------------  SZA (0, 90, 5)  ---------------------------------------------
	WLINF	WLSUP	FFEW		TOPDN		TOPUP	TOPDIR		BOTDN	BOTUP	BOTDIR
	(μm)		(μm)		(μm)		(W/m²)		(W/m²)	(W/m²)		(W/m²)	(W/m²)	(W/m²)
----------------------------------------------------------------------------------------------------------
     0.2800     4.0000     3.7200  1.3476E+03  1.9326E+02  1.3476E+03  1.0611E+03  1.5917E+02  8.1880E+02
     0.2800     4.0000     3.7200  1.3425E+03  1.9271E+02  1.3425E+03  1.0566E+03  1.5849E+02  8.1456E+02
     0.2800     4.0000     3.7200  1.3272E+03  1.9107E+02  1.3272E+03  1.0429E+03  1.5644E+02  8.0188E+02
     0.2800     4.0000     3.7200  1.3017E+03  1.8835E+02  1.3017E+03  1.0203E+03  1.5305E+02  7.8090E+02
     0.2800     4.0000     3.7200  1.2664E+03  1.8457E+02  1.2664E+03  9.8893E+02  1.4834E+02  7.5185E+02
     0.2800     4.0000     3.7200  1.2214E+03  1.7979E+02  1.2214E+03  9.4906E+02  1.4236E+02  7.1505E+02
     0.2800     4.0000     3.7200  1.1671E+03  1.7402E+02  1.1671E+03  9.0104E+02  1.3516E+02  6.7093E+02
     0.2800     4.0000     3.7200  1.1039E+03  1.6732E+02  1.1039E+03  8.4531E+02  1.2680E+02  6.2001E+02
     0.2800     4.0000     3.7200  1.0323E+03  1.5974E+02  1.0323E+03  7.8236E+02  1.1735E+02  5.6292E+02
     0.2800     4.0000     3.7200  9.5292E+02  1.5135E+02  9.5292E+02  7.1276E+02  1.0691E+02  5.0043E+02
     0.2800     4.0000     3.7200  8.6624E+02  1.4223E+02  8.6624E+02  6.3715E+02  9.5573E+01  4.3345E+02
     0.2800     4.0000     3.7200  7.7297E+02  1.3248E+02  7.7297E+02  5.5629E+02  8.3444E+01  3.6311E+02
     0.2800     4.0000     3.7200  6.7382E+02  1.2213E+02  6.7382E+02  4.7107E+02  7.0661E+01  2.9078E+02
     0.2800     4.0000     3.7200  5.6953E+02  1.1113E+02  5.6953E+02  3.8265E+02  5.7397E+01  2.1828E+02
     0.2800     4.0000     3.7200  4.6092E+02  9.9172E+01  4.6092E+02  2.9256E+02  4.3884E+01  1.4811E+02
     0.2800     4.0000     3.7200  3.4879E+02  8.5510E+01  3.4879E+02  2.0308E+02  3.0463E+01  8.4054E+01
     0.2800     4.0000     3.7200  2.3401E+02  6.8338E+01  2.3401E+02  1.1803E+02  1.7705E+01  3.2346E+01
----------------------------------------------------------------------------------------------------------
