# I3RC Monte Carlo Solar Zenith Angle Analysis Results
# Configuration: rural_aerosol_proper
# Generated: 2025-08-25 11:32:09
# Total simulations: 16
#
# Columns:
#   zenith_angle: Solar zenith angle (degrees)
#   solar_elevation: Solar elevation angle (degrees)
#   mu: Cosine of zenith angle
#   extraterrestrial: Total radiation at top of atmosphere
#   global: Total radiation at surface (direct + diffuse)
#   diffuse: Diffuse radiation at surface
#
# Units: All radiation values are normalized fluxes
#
zenith_angle,solar_elevation,mu,extraterrestrial,global,diffuse
0.000000,90.000000,1.000000,1.000000,0.910152,0.233466
5.000000,85.000000,0.996195,1.000000,0.910204,0.234518
10.000000,80.000000,0.984808,1.000000,0.909706,0.237023
15.000000,75.000000,0.965926,1.000000,0.905912,0.237235
20.000000,70.000000,0.939693,1.000000,0.911241,0.242563
25.000000,65.000000,0.906308,1.000000,0.902378,0.240712
30.000000,60.000000,0.866025,1.000000,0.897370,0.232711
35.000000,55.000000,0.819152,1.000000,0.889028,0.251388
40.000000,50.000000,0.766044,1.000000,0.884899,0.250275
45.000000,45.000000,0.707107,1.000000,0.867650,0.251048
50.000000,40.000000,0.642788,1.000000,0.860676,0.266129
55.000000,35.000000,0.573576,1.000000,0.827946,0.303406
60.000000,30.000000,0.500000,1.000000,0.797617,0.332141
65.000000,25.000000,0.422618,1.000000,0.755351,0.328916
70.000000,20.000000,0.342020,1.000000,0.690932,0.339575
75.000000,15.000000,0.258819,1.000000,0.621524,0.379259
