# I3RC Monte Carlo Solar Zenith Angle Analysis Results
# Configuration: rural_aerosol_proper
# Generated: 2025-08-25 09:45:46
# Total simulations: 17
#
# Columns:
#   zenith_angle: Solar zenith angle (degrees)
#   solar_elevation: Solar elevation angle (degrees)
#   mu: Cosine of zenith angle
#   extraterrestrial: Total radiation at top of atmosphere
#   global: Total radiation at surface (direct + diffuse)
#   diffuse: Diffuse radiation at surface
#
# Units: All radiation values are normalized fluxes
#
zenith_angle,solar_elevation,mu,extraterrestrial,global,diffuse
0.000000,90.000000,1.000000,1.000000,0.916810,0.182861
5.000000,85.000000,0.996195,1.000000,0.968099,0.134025
10.000000,80.000000,0.984808,1.000000,0.953188,0.169114
15.000000,75.000000,0.965926,1.000000,0.910081,0.176007
20.000000,70.000000,0.939693,1.000000,0.902065,0.217991
25.000000,65.000000,0.906308,1.000000,0.902065,0.217991
30.000000,60.000000,0.866025,1.000000,0.897065,0.217991
35.000000,55.000000,0.819152,1.000000,0.901593,0.170019
40.000000,50.000000,0.766044,1.000000,0.856983,0.175647
45.000000,45.000000,0.707107,1.000000,0.915437,0.236851
55.000000,35.000000,0.573576,1.000000,0.893773,0.322444
60.000000,30.000000,0.500000,1.000000,0.906449,0.285132
65.000000,25.000000,0.422618,1.000000,0.855084,0.391263
70.000000,20.000000,0.342020,1.000000,0.599467,0.380533
75.000000,15.000000,0.258819,1.000000,0.610825,0.348030
80.000000,10.000000,0.173648,1.000000,0.375598,0.322454
85.000000,5.000000,0.087156,1.000000,0.410846,0.408346
