# I3RC Monte Carlo Solar Zenith Angle Analysis Results
# Configuration: thin_cloud
# Generated: 2025-08-25 10:11:58
# Total simulations: 18
#
# Columns:
#   zenith_angle: Solar zenith angle (degrees)
#   solar_elevation: Solar elevation angle (degrees)
#   mu: Cosine of zenith angle
#   extraterrestrial: Total radiation at top of atmosphere
#   global: Total radiation at surface (direct + diffuse)
#   diffuse: Diffuse radiation at surface
#
# Units: All radiation values are normalized fluxes
#
zenith_angle,solar_elevation,mu,extraterrestrial,global,diffuse
0.000000,90.000000,1.000000,1.000000,1.000016,0.158270
5.000000,85.000000,0.996195,1.000000,1.000016,0.158270
10.000000,80.000000,0.984808,1.000000,1.000016,0.160145
15.000000,75.000000,0.965926,1.000000,1.000015,0.160145
20.000000,70.000000,0.939693,1.000000,1.000000,0.160162
25.000000,65.000000,0.906308,1.000000,1.000000,0.160162
30.000000,60.000000,0.866025,1.000000,0.999999,0.159537
35.000000,55.000000,0.819152,1.000000,1.024999,0.184537
40.000000,50.000000,0.766044,1.000000,0.999984,0.209584
45.000000,45.000000,0.707107,1.000000,0.999983,0.308958
50.000000,40.000000,0.642788,1.000000,0.999983,0.234600
55.000000,35.000000,0.573576,1.000000,0.948732,0.333974
60.000000,30.000000,0.500000,1.000000,0.948731,0.310864
65.000000,25.000000,0.422618,1.000000,0.874965,0.487129
70.000000,20.000000,0.342020,1.000000,0.849341,0.387177
75.000000,15.000000,0.258819,1.000000,0.846809,0.311538
80.000000,10.000000,0.173648,1.000000,0.770463,0.515803
85.000000,5.000000,0.087156,1.000000,0.567319,0.514067
