# I3RC Monte Carlo Solar Zenith Angle Analysis Results
# Configuration: thin_cloud
# Generated: 2025-08-25 09:46:47
# Total simulations: 17
#
# Columns:
#   zenith_angle: Solar zenith angle (degrees)
#   solar_elevation: Solar elevation angle (degrees)
#   mu: Cosine of zenith angle
#   extraterrestrial: Total radiation at top of atmosphere
#   global: Total radiation at surface (direct + diffuse)
#   diffuse: Diffuse radiation at surface
#
# Units: All radiation values are normalized fluxes
#
zenith_angle,solar_elevation,mu,extraterrestrial,global,diffuse
0.000000,90.000000,1.000000,1.000000,1.052632,0.118026
5.000000,85.000000,0.996195,1.000000,1.052632,0.118026
10.000000,80.000000,0.984808,1.000000,1.052632,0.118026
15.000000,75.000000,0.965926,1.000000,1.052631,0.168025
20.000000,70.000000,0.939693,1.000000,1.052506,0.168038
25.000000,65.000000,0.906308,1.000000,1.052505,0.268037
30.000000,60.000000,0.866025,1.000000,1.052505,0.268037
35.000000,55.000000,0.819152,1.000000,1.052505,0.268037
40.000000,50.000000,0.766044,1.000000,1.052505,0.315543
45.000000,45.000000,0.707107,1.000000,1.052505,0.320556
55.000000,35.000000,0.573576,1.000000,1.047504,0.420680
60.000000,30.000000,0.500000,1.000000,0.997505,0.270681
65.000000,25.000000,0.422618,1.000000,0.952505,0.325669
70.000000,20.000000,0.342020,1.000000,0.950005,0.378569
75.000000,15.000000,0.258819,1.000000,0.944997,0.478432
80.000000,10.000000,0.173648,1.000000,0.944857,0.636068
85.000000,5.000000,0.087156,1.000000,0.639463,0.481450
