"TOA5","CR1000","CR1000","1431","CR1000.Std.29","CPU:multipyr_(13-feb-2023).CR1","55357","Table1"
"TIMESTAMP","RECORD","Global_Avg","Diffuse_Avg","Beam_Avg","PYRH_R_Avg","UV_volt_Avg","TempUV_AVG","PYRG_volt_Avg","PYRG_R_Avg","PPFD_Avg","PV1_Avg","Global_Std","Diffuse_Std","Beam_Std","PV1_Std"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std"
"2025-06-09 00:03:00",977843,-8.26,-7.462,-0.335,106.4,11.9,24.94,-0.986,108.1,-0.115,-0.815,0,0,0,0.677
"2025-06-09 00:04:00",977844,-8.26,-7.462,-0.335,106.4,11.97,24.93,-0.986,108.1,-0.058,-0.815,0,0,0,0.658
"2025-06-09 00:05:00",977845,-8.1,-7.462,-0.335,106.4,11.92,24.93,-0.988,108.1,-0.058,-0.808,0.172,0,0,0.669
"2025-06-09 00:06:00",977846,-7.859,-7.462,-0.335,106.4,12.03,24.92,-0.989,108.1,-0.058,-0.808,0.128,0,0,0.654
"2025-06-09 00:07:00",977847,-7.641,-7.462,-0.335,106.4,11.88,24.92,-0.991,108.1,-0.115,-0.83,0.138,0,0,0.693
"2025-06-09 00:08:00",977848,-7.573,-7.462,-0.335,106.4,12.06,24.92,-0.992,108.1,-0.058,-0.874,0,0,0,0.722
"2025-06-09 00:09:00",977849,-7.257,-7.462,-0.335,106.4,12.38,24.92,-0.992,108.1,-0.058,-0.94,0.095,0,0,0.794
"2025-06-09 00:10:00",977850,-7.228,-7.462,-0.335,106.4,12.4,24.93,-0.99,108.1,-0.058,-0.903,0,0,0,0.703
"2025-06-09 00:11:00",977851,-7.228,-7.462,-0.335,106.4,11.95,24.93,-0.988,108.1,-0.173,-0.815,0,0,0,0.672
"2025-06-09 00:12:00",977852,-7.228,-7.462,-0.335,106.4,11.9,24.95,-0.988,108.1,0,-0.815,0,0,0,0.682
"2025-06-09 00:13:00",977853,-7.464,-7.462,-0.335,106.4,12,24.96,-0.986,108.1,-0.115,-0.859,0.16,0,0,0.666
"2025-06-09 00:14:00",977854,-7.641,-7.462,-0.335,106.4,12.04,24.97,-0.988,108.1,0,-0.859,0.138,0,0,0.666
"2025-06-09 00:15:00",977855,-7.917,-7.462,-0.335,106.4,11.98,24.96,-0.99,108.1,-0.115,-0.845,0,0,0,0.67
"2025-06-09 00:16:00",977856,-7.917,-7.462,-0.335,106.4,12.02,24.95,-0.99,108.1,-0.058,-0.815,0,0,0,0.682
"2025-06-09 00:17:00",977857,-7.951,-7.462,-0.335,106.4,11.95,24.95,-0.99,108.1,-0.058,-0.823,0.103,0,0,0.671
"2025-06-09 00:18:00",977858,-7.991,-7.462,-0.335,106.4,11.92,24.94,-0.99,108.1,-0.115,-0.83,0.142,0,0,0.683
"2025-06-09 00:19:00",977859,-8.26,-7.462,-0.335,106.4,11.95,24.93,-0.989,108.1,-0.115,-0.823,0,0,0,0.675
"2025-06-09 00:20:00",977860,-8.26,-7.462,-0.391,106.4,11.92,24.93,-0.99,108.1,-0.115,-0.823,0,0,0.125,0.675
"2025-06-09 00:21:00",977861,-8.26,-7.462,-0.341,106.4,11.99,24.92,-0.993,108.1,-0.058,-0.815,0,0,0.043,0.677
"2025-06-09 00:22:00",977862,-8.26,-7.462,-0.531,106.4,11.97,24.92,-0.994,108.1,0,-0.83,0,0,0.165,0.693
"2025-06-09 00:23:00",977863,-8.26,-7.462,-0.653,106.4,12.2,24.92,-0.993,108.1,-0.058,-0.903,0,0,0.073,0.744
"2025-06-09 00:24:00",977864,-8.26,-7.462,-0.391,106.4,12.48,24.93,-0.992,108.1,-0.058,-0.962,0,0,0.125,0.79
"2025-06-09 00:25:00",977865,-8.26,-7.462,-0.341,106.4,12.25,24.93,-0.992,108.1,-0.173,-0.896,0,0,0.043,0.706
"2025-06-09 00:26:00",977866,-8.22,-7.462,-0.374,106.4,11.99,24.94,-0.993,108.1,-0.058,-0.815,0.117,0,0.108,0.677
"2025-06-09 00:27:00",977867,-8.26,-7.462,-0.335,106.3,11.93,24.95,-0.992,108.1,-0.115,-0.815,0,0,0,0.677
"2025-06-09 00:28:00",977868,-8.26,-7.462,-0.335,106.3,11.95,24.96,-0.993,108.1,-0.115,-0.837,0,0,0,0.667
"2025-06-09 00:29:00",977869,-8.26,-7.462,-0.341,106.3,12.08,24.97,-0.994,108.1,-0.058,-0.837,0,0,0.043,0.667
"2025-06-09 00:30:00",977870,-8.26,-7.462,-0.335,106.3,12.03,24.96,-0.996,108.1,-0.058,-0.845,0,0,0,0.67
"2025-06-09 00:31:00",977871,-8.28,-7.462,-0.335,106.3,11.96,24.95,-0.996,108.1,-0.058,-0.815,0.075,0,0,0.677
"2025-06-09 00:32:00",977872,-8.36,-7.462,-0.335,106.3,11.95,24.95,-0.997,108.1,-0.058,-0.815,0.158,0,0,0.682
"2025-06-09 00:33:00",977873,-8.3,-7.462,-0.335,106.3,11.95,24.94,-0.996,108.1,-0.058,-0.815,0.103,0,0,0.682
"2025-06-09 00:34:00",977874,-8.3,-7.462,-0.335,106.3,11.98,24.93,-0.996,108.1,-0.058,-0.815,0.103,0,0,0.682
"2025-06-09 00:35:00",977875,-8.4,-7.462,-0.335,106.3,11.92,24.93,-0.997,108.1,-0.058,-0.823,0.17,0,0,0.685
"2025-06-09 00:36:00",977876,-8.59,-7.462,-0.335,106.3,12.04,24.92,-0.997,108.1,-0.058,-0.808,0.075,0,0,0.674
"2025-06-09 00:37:00",977877,-8.31,-7.729,-0.335,106.3,12.09,24.92,-0.998,108.1,-0.058,-0.845,0.117,0.227,0,0.693
"2025-06-09 00:38:00",977878,-8.26,-8.2,-0.335,106.3,12.63,24.93,-0.997,108.1,-0.058,-0.992,0,0.048,0,0.823
"2025-06-09 00:39:00",977879,-8.26,-8.21,-0.335,106.3,12.42,24.93,-0.995,108.1,-0.173,-0.911,0,0,0,0.724
"2025-06-09 00:40:00",977880,-8.26,-8.16,-0.335,106.4,11.96,24.95,-0.993,108,-0.058,-0.823,0,0.127,0,0.675
"2025-06-09 00:41:00",977881,-8.26,-7.81,-0.335,106.4,12.02,24.97,-0.991,108,-0.115,-0.837,0,0.093,0,0.672
"2025-06-09 00:42:00",977882,-8.23,-7.53,-0.335,106.4,12.11,24.98,-0.99,108,-0.115,-0.859,0.095,0.144,0,0.685
"2025-06-09 00:43:00",977883,-8.21,-7.462,-0.335,106.4,12.06,24.97,-0.991,108,-0.058,-0.837,0.123,0,0,0.686
"2025-06-09 00:44:00",977884,-8.16,-7.462,-0.335,106.4,11.95,24.96,-0.991,108,-0.058,-0.808,0.155,0,0,0.674
"2025-06-09 00:45:00",977885,-8.15,-7.462,-0.335,106.3,12,24.94,-0.994,108,-0.058,-0.815,0.16,0,0,0.682
"2025-06-09 00:46:00",977886,-8.19,-7.462,-0.335,106.3,11.97,24.93,-0.994,108,-0.058,-0.83,0.142,0,0,0.697
"2025-06-09 00:47:00",977887,-8.05,-7.462,-0.335,106.3,11.97,24.92,-0.997,108,-0.115,-0.83,0.167,0,0,0.674
"2025-06-09 00:48:00",977888,-8.04,-7.462,-0.335,106.3,12.01,24.92,-0.998,108,-0.058,-0.823,0.166,0,0,0.675
"2025-06-09 00:49:00",977889,-7.974,-7.462,-0.335,106.3,12.53,24.92,-1,108,-0.115,-0.97,0.128,0,0,0.804
"2025-06-09 00:50:00",977890,-7.917,-7.462,-0.335,106.3,12.57,24.93,-1.004,108,-0.115,-0.955,0,0,0,0.768
"2025-06-09 00:51:00",977891,-7.917,-7.462,-0.335,106.3,11.99,24.94,-1.009,108,-0.115,-0.83,0,0,0,0.678
"2025-06-09 00:52:00",977892,-7.968,-7.462,-0.335,106.3,12.02,24.97,-1.008,108,-0.058,-0.83,0.123,0,0,0.683
"2025-06-09 00:53:00",977893,-8.26,-7.462,-0.335,106.3,12.11,24.98,-1.008,108,-0.115,-0.852,0,0,0,0.673
"2025-06-09 00:54:00",977894,-8.26,-7.462,-0.335,106.3,12.07,24.98,-1.007,108,-0.115,-0.845,0.044,0,0,0.67
